Year	Code	File name prefix	Author	Work	Licence
1887	lb1498004	HanssonO_SensitivaAmorosa_1887	Ola Hansson	Sensitiva amorosa	cc-by	
1924	lb1524995	BergmanHj_ChefenfruIngeborg_1924	Hjalmar Bergman	Chefen fru Ingeborg	cc-by	
1920	lb1524996	BergmanHj_HerrvonHancken_1920	Hjalmar Bergman	Herr von Hancken	cc-by	
1916	lb1525006	BergmanHj_FalskaPapper_1916	Hjalmar Bergman	Falska papper	cc-by	
1900	lb1530972	ForsslundKE_Djur_1900	Karl-Erik Forsslund	Djur. Skisser och historier från Storgården	cc-by	
1840	lb1542694	BremerF_NyaTeckningar5_1840	Fredrika Bremer	Nya teckningar utur hvardagslifvet. Del 5, Strid och frid eller några scener i Norge	cc-by	
1843	lb1543052	KnorringS_Torparen1_1843	Sophie von Knorring	Torparen och hans omgifning. En skildring ur folklifvet. Förra delen	cc-by	
1843	lb1543053	KnorringS_Torparen2_1843	Sophie von Knorring	Torparen och hans omgifning. En skildring ur folklifvet. Sednare delen	cc-by	
1928	lb157321	SoderbergH_JesusBarabbas_1928	Hjalmar Söderberg	Jesus Barabbas. (Ur löjtnant Jägerstams memoarer)	cc-by	
1840	lb1576276	PalmbladVF_TornrosensBokNemligen_1840	Vilhelm Fredrik Palmblad	Törnrosens Bok. Nemligen Den Äkta och Veritabla, utgifven icke af Richard Furumo utan af Hofmarskalken Hugo Löwenstjerna sjelf	cc-by	
1869	lb1581525	LefflerAC_Handelsevis_1869	Anne Charlotte Leffler	Händelsevis. Trenne teckningar	cc-by	
1885	lb1595399	BenedictssonV_Pengar_1885	Victoria Benedictsson	Pengar	cc-by	
1880	lb1595921	BondesonA_JonISlatthult_1880	August Bondeson	Jon i Slätthult. Halländska gränsbolifvet	cc-by	
1882	lb1597131	GeijerstamG_Grakallt_1882	Gustaf af Geijerstam	Gråkallt. Teckningar och utkast	cc-by	
1880	lb1597304	GullbergG_RomanerIVastfickformat_1880	Gustaf Teodor Gullberg	Romaner i västfickformat. Parodistiska ströftåg efter berömda mönster	cc-by	
1883	lb1598359	LevertinO_SmamyntSkizzer_1883	Oscar Levertin	Småmynt. Skizzer	cc-by	
1885	lb1598360	LevertinO_Konflikter_1885	Oscar Levertin	Konflikter. Nya noveller	cc-by	
1885	lb1598586	LundegardA_IGryningen_1885	Axel Lundegård	I gryningen. Novelletter	cc-by	
1878	lb1598607	LundinC_OxygenAromasia_1878	Claës Lundin	Oxygen och Aromasia. Bilder från år 2378 efter en främmande idé	cc-by	
1880	lb1601984	FlygareCarlenE_KerstinMariasFastegafva_1880	Emilie Flygare-Carlén	Kerstin Marias fästegåfva. Karaktärsbild ur bondlifvets krönika	cc-by	
1907	lb1611436	AngeredStrandbergH_Trollmark_1907	Hilma Angered Strandberg	Trollmark och andra berättelser	cc-by	
1908	lb1611438	AngeredStrandbergH_Odesglimtar_1908	Hilma Angered Strandberg	Ödesglimtar	cc-by	
1908	lb1611687	BergerH_UrEnEnsamsDAgbok_1908	Henning Berger	Ur en ensams dagbok	cc-by	
1910	lb1611717	BergmanHj_Amourer_1910	Hjalmar Bergman	Amourer	cc-by	
1907	lb1611718	BergmanHj_BlaBlommor_1907	Hjalmar Bergman	Blå blommor	cc-by	
1910	lb1611719	BergmanHj_HansNadsTestamente_1910	Hjalmar Bergman	Hans nåds testamente	cc-by	
